"time","S","I","R"
319,204.083043659491,1.80306089729024,794.113895443218
320,204.046788604595,1.75048379113147,794.202727604272
321,204.011596968635,1.69943375851817,794.288969272846
322,203.977437505648,1.64986679706612,794.372695697285
323,203.944279890838,1.60174015200805,794.453979957153
324,203.912094693248,1.55501228200217,794.532893024749
325,203.880853349244,1.50964282580792,794.609503824947
326,203.850528136807,1.46559256981124,794.683879293381
327,203.821092150582,1.42282341638158,794.756084433036
328,203.792519277687,1.38129835304328,794.826182369269
329,203.764784174239,1.34098142244364,794.894234403317
330,203.737862242584,1.30183769310063,794.960300064315
331,203.711729609211,1.26383323091298,795.024437159875
332,203.686363103322,1.22693507141575,795.086701825262
333,203.661740236045,1.19111119276459,795.14714857119
334,203.637839180267,1.15633048943219,795.2058303303
335,203.614638751071,1.12256274660056,795.262798502328
336,203.592118386749,1.08977861523297,795.318102998018
337,203.570258130393,1.05794958780976,795.371792281797
338,203.549038612024,1.02704797471223,795.423913413263
339,203.52844103126,0.997046881239387,795.4745120875
340,203.508447140495,0.96792018524213,795.523632674262
341,203.489039228584,0.939642515360247,795.571318256055
342,203.470200105007,0.912189229847338,795.617610665145
343,203.451913084511,0.885536395969395,795.662550519519
344,203.434161972201,0.859660769962848,795.706177257835
345,203.41693104908,0.834539777538223,795.748529173381
346,203.400205058015,0.810151494915796,795.789643447068
347,203.383969190119,0.786474630379884,795.8295561795
348,203.368209071543,0.763488506338707,795.868302422117
349,203.35291075065,0.74117304187698,795.905916207472
350,203.338060685578,0.719508735788685,795.942430578632
351,203.323645732167,0.698476650077724,795.977877617754
352,203.309653132247,0.678058393914408,796.012288473838
353,203.296070502266,0.658236108036006,796.045693389697
354,203.282885822265,0.638992449579813,796.078121728154
355,203.270087425173,0.620310577337491,796.109601997489
356,203.257663986415,0.602174137419626,796.140161876164
357,203.24560451384,0.584567249319747,796.169828236839
358,203.233898337931,0.567474492367272,796.198627169701
359,203.222535102319,0.550880892559086,796.226584005121
360,203.211504754566,0.534771909759702,796.253723335673
361,203.20079753723,0.519133425260194,796.280069037509
362,203.190403979185,0.503951729686306,796.305644291127
363,203.180314887204,0.489213511246395,796.330471601549
364,203.170521337786,0.474905844310058,796.354572817903
365,203.16101466923,0.461016178308545,796.37796915246
366,203.151786473936,0.447532326948255,796.400681199115
367,203.142828590936,0.434442457728836,796.422728951333
368,203.134133098651,0.421735081757613,796.44413181959
369,203.125692307849,0.409399043852274,796.464908648297
370,203.117498754824,0.397423512923953,796.48507773225
371,203.109545194768,0.385797972633034,796.504656832598
372,203.10182459534,0.374512212310207,796.523663192349
373,203.094330130425,0.36355631813548,796.542113551438
374,203.08705517408,0.352920664568057,796.56002416135
375,203.079993294651,0.342595906020152,796.577410799327
376,203.07313824907,0.332572968768012,796.594288782161
377,203.066483977316,0.322843043093567,796.610672979588
378,203.060024597045,0.313397575650327,796.626577827303
379,203.053754398368,0.304228262047281,796.642017339584
380,203.04766783879,0.295327039644747,796.657005121564
381,203.041759538299,0.286686080556256,796.671554381144
382,203.036024274594,0.278297784850721,796.685677940553
383,203.03045697846,0.270154773949294,796.699388247589
384,203.025052729268,0.262249884211464,796.712697386519
385,203.019806750624,0.254576160705084,796.725617088669
386,203.014714406131,0.247126851155166,796.738158742713
387,203.009771195279,0.239895400066423,796.750333404653
388,203.004972749467,0.232875443014667,796.762151807517
389,203.000314828123,0.2260608011023,796.773624370774
390,202.995793314955,0.219445475573276,796.78476120947
391,202.991404214303,0.213023642583025,796.795572143112
392,202.9871436476,0.20678964811896,796.806066704279
393,202.983007849939,0.200738003067304,796.816254146992
394,202.978993166737,0.194863378422092,796.82614345484
395,202.975096050501,0.189160600632312,796.835743348865
396,202.971313057689,0.183624647083272,796.845062295226
397,202.967640845659,0.178250641708367,796.854108512631
398,202.964076169711,0.173033850727549,796.86288997956
399,202.960615880214,0.16796967850888,796.871414441275
400,202.957256919822,0.163053663549673,796.879689416626
401,202.953996320765,0.15828147457381,796.88772220466
402,202.950831202222,0.153648906741909,796.895519891035
403,202.947758767775,0.149151877971131,796.903089354252
404,202.944776302933,0.144786425361489,796.910437271704
405,202.94188117273,0.140548701725611,796.917570125542
406,202.939070819395,0.136434972218993,796.924494208385
407,202.936342760086,0.132441611067874,796.931215628845
408,202.933694584697,0.128565098391923,796.937740316909
409,202.931123953727,0.124802017119027,796.944074029152
410,202.928628596206,0.121149049989536,796.950222353803
411,202.926206307689,0.117602976647389,796.956190715662
412,202.923854948307,0.114160670815634,796.961984380876
413,202.921572440874,0.110819097553916,796.967608461571
414,202.919356769048,0.107575310595564,796.973067920355
415,202.91720597555,0.104426449761996,796.978367574686
416,202.915118160434,0.101369738452217,796.983512101112
417,202.913091479404,0.0984024812052413,796.988506039389
418,202.911124142186,0.0955220613333346,796.993353796479
419,202.909214410941,0.0927259386240463,796.998059650433
420,202.907360598734,0.0900116471090331,797.002627754155
421,202.90556106804,0.0873767928977559,797.007062139061
422,202.903814229294,0.0848190520741716,797.01136671863
423,202.902118539489,0.0823361686546037,797.015545291855
424,202.90047250081,0.079925952605021,797.019601546583
425,202.898874659312,0.0775862779160089,797.02353906277
426,202.897323603631,0.0753150807337636,797.027361315633
427,202.895817963742,0.0731103575454892,797.031071678711
428,202.89435640974,0.0709701634176229,797.03467342684
429,202.892937650674,0.0688926102853592,797.038169739039
430,202.891560433398,0.0668758652919872,797.041563701308
431,202.890223541468,0.0649181491765976,797.044858309354
432,202.888925794064,0.0630177347087588,797.048056471225
433,202.88766604495,0.0611729451687993,797.05116100988
434,202.886443181456,0.0593821528723748,797.05417466567
435,202.8852561235,0.0576437777380356,797.057100098761
436,202.884103822628,0.055956285896546,797.059939891474
437,202.882985261093,0.0543181883407445,797.062696550564
438,202.881899450952,0.0527280396147687,797.065372509432
439,202.880845433193,0.0511844365415005,797.067970130264
440,202.879822276889,0.0496860169871225,797.070491706122
441,202.878829078375,0.0482314586617074,797.072939462962
442,202.877864960449,0.0468194779547935,797.075315561594
443,202.876929071597,0.045448828804929,797.077622099596
444,202.876020585241,0.0441183016021985,797.079861113155
445,202.875138699009,0.0428267221227719,797.082034578866
446,202.874282634024,0.0415729504945447,797.084144415479
447,202.873451634219,0.0403558801929295,797.086192485586
448,202.872644965665,0.0391744370661753,797.088180597267
449,202.871861915926,0.0380275783886217,797.090110505684
450,202.871101793429,0.0369142919425125,797.091983914626
451,202.870363926852,0.0358335951251419,797.093802478021
452,202.86964766453,0.0347845340834616,797.095567801385
453,202.868952373881,0.0337661828735809,797.097281443243
454,202.868277440848,0.0327776426445387,797.098944916506
455,202.867622269353,0.0318180408460523,797.100559689799
456,202.866986280774,0.0308865304594079,797.102127188765
457,202.866368913431,0.0299822892508171,797.103648797317
458,202.865769622092,0.029104519046582,797.105125858859
459,202.865187877492,0.0282524450294359,797.106559677477
460,202.86462316586,0.0274253150554397,797.107951519083
461,202.864074988473,0.0266223989908378,797.109302612535
462,202.863542861208,0.0258429880682881,797.110614150721
463,202.863026314122,0.0250863942619041,797.111887291614
464,202.862524891028,0.024351949680559,797.113123159289
