Example SIR
N= 1000
b= 1e-04
y= 0.05
dt= 1
maxReps= 1000
T,S,I,R
549,200.038020236689,0.00162913239227175,799.96035063092
550,200.037987647847,0.00158026461450351,799.96043208754
551,200.037956036552,0.00153286267912198,799.960511100771
552,200.03792537348,0.0014868826168875,799.960587743905
553,200.037895630189,0.00144228177743874,799.960662088035
554,200.037866779088,0.00139901878973326,799.960734202124
555,200.037838793414,0.00135705352367481,799.960804153064
556,200.037811647209,0.00131634705289136,799.96087200574
557,200.03778531529,0.00127686161862965,799.960937823093
558,200.037759773233,0.00123856059473265,799.961001666174
559,200.037734997345,0.00120140845366739,799.961063594203
560,200.037710964642,0.00116537073357185,799.961123664626
561,200.037687652833,0.00113041400629014,799.961181933163
562,200.037665040292,0.0010965058463665,799.961238453863
563,200.037643106045,0.0010636148009692,799.961293279155
564,200.037621829746,0.00103171036071659,799.961346459895
565,200.037601191657,0.00100076293137825,799.961398045413
566,200.037581172635,0.000970743806424782,799.96144808356
567,200.037561754111,0.000941625140401096,799.96149662075
568,200.037542918071,0.000913379923098262,799.961543702007
569,200.037524647044,0.000885981954500076,799.961589371003
570,200.03750692408,0.000859405820481087,799.961633670101
571,200.03748973274,0.00083362686923354,799.961676640392
572,200.037473057078,0.000808621188401387,799.961718321735
573,200.037456881624,0.00078436558290014,799.961758752795
574,200.037441191374,0.000760837553402015,799.961797971074
575,200.037425971774,0.000738015275466399,799.961836012952
576,200.037411208707,0.000715877579296294,799.961872913716
577,200.037396888477,0.000694403930101958,799.961908707595
578,200.037382997801,0.000673574409053532,799.961943427791
579,200.037369523795,0.000653369694804991,799.961977106512
580,200.03735645396,0.000633771045572277,799.962009774996
581,200.037343776171,0.000614760281748997,799.962041463549
582,200.03733147867,0.000596319769043564,799.962072201563
583,200.037319550048,0.00057843240212213,799.962102017551
584,200.037307979242,0.000561081588742165,799.962130939171
585,200.037296755517,0.000544251234361926,799.962158993251
586,200.037285868462,0.000527925727211591,799.962186205812
587,200.037275307979,0.000512089923812166,799.962212602099
588,200.037265064272,0.000496729134928763,799.962238206595
589,200.037255127838,0.000481829111945214,799.962263043052
590,200.037245489461,0.000467376033647374,799.962287134507
591,200.037236140199,0.000453356493402866,799.962310503309
592,200.037227071381,0.000439757486725375,799.962333171133
593,200.037218274594,0.000426566399211949,799.962355159008
594,200.037209741679,0.000413770994842128,799.962376487328
595,200.037201464719,0.000401359404628047,799.962397175877
596,200.037193436038,0.000389320115604979,799.962417243848
597,200.037185648188,0.000377641960152111,799.962436709853
598,200.037178093944,0.000366314105633655,799.962455591952
599,200.0371707663,0.000355326044350669,799.962473907657
600,200.037163658459,0.000344667583794284,799.962491673959
601,200.037156763826,0.000334328837191292,799.962508907338
602,200.037150076007,0.000324300214333318,799.96252562378
603,200.037143588798,0.00031457241268108,799.962541838791
604,200.037137296181,0.000305136408735482,799.962557567411
605,200.03713119232,0.000295983449667536,799.962572824232
606,200.037125271552,0.000287105045199349,799.962587623404
607,200.037119528385,0.000278492959728645,799.962601978657
608,200.037113957492,0.000270139204689518,799.962615903305
609,200.037108553705,0.000262036031142329,799.962629410265
610,200.037103312012,0.000254175922585872,799.962642512066
611,200.037098227551,0.000246551587985152,799.962655220863
612,200.037093295604,0.000239155955008289,799.962667548442
613,200.037088511598,0.000231982163466294,799.96267950624
614,200.037083871095,0.000225023558949621,799.962691105348
615,200.037079369789,0.000218273686655598,799.962702356526
616,200.037075003506,0.000211726285401004,799.96271327021
617,200.037070768195,0.000205375281814251,799.962723856524
618,200.037066659928,0.00019921478470177,799.962734125288
619,200.037062674894,0.000193239079583385,799.962744086028
620,200.037058809396,0.000187442623391602,799.962753747982
621,200.037055059849,0.000181820039329899,799.962763120113
622,200.037051422775,0.000176366111885246,799.962772211115
623,200.037047894799,0.000171075781990226,799.96278102942
624,200.03704447265,0.000165944142330277,799.96278958321
625,200.037041153152,0.000160966432791693,799.962797880417
626,200.037037933227,0.000156138036046171,799.962805928738
627,200.037034809888,0.000151454473267801,799.96281373564
628,200.037031780238,0.000146911399978529,799.962821308364
629,200.037028841466,0.000142504602018241,799.962828653934
630,200.037025990846,0.000138229991635726,799.962835779164
631,200.037023225734,0.000134083603696894,799.962842690663
632,200.037020543566,0.00013006159200674,799.962849394844
633,200.037017941852,0.000126160225741621,799.962855897923
634,200.037015418181,0.000122375885988563,799.962862205935
635,200.03701297021,0.000118705062388365,799.962868324729
636,200.03701059567,0.000115144349879408,799.962874259982
637,200.037008292356,0.000111690445539124,799.9628800172
638,200.037006058134,0.000108340145520216,799.962885601722
639,200.03700389093,0.000105090342078782,799.962891018729
640,200.037001788735,0.000101938020691574,799.962896273246
641,200.036999749597,9.88802572597376e-05,799.962901370147
642,200.036997771626,9.59142153964213e-05,799.96290631416
643,200.036995852987,9.30371437957524e-05,799.962911109871
644,200.0369939919,9.02463736807292e-05,799.962915761728
645,200.036992186639,8.7539316327669e-05,799.962920274047
646,200.036990435528,8.49134606649117e-05,799.962924651013
647,200.036988736945,8.23663709435536e-05,799.962928896686
648,200.036987089313,7.98956844780498e-05,799.962933015004
649,200.036985491104,7.74991094545901e-05,799.962937009788
650,200.036983940835,7.51744228052147e-05,799.962940884744
651,200.036982437069,7.29194681456988e-05,799.962944643465
652,200.03698097841,7.0732153775292e-05,799.962948289438
653,200.036979563505,6.86104507364584e-05,799.962951826046
654,200.036978191042,6.65523909328167e-05,799.962955256569
655,200.036976859748,6.45560653035348e-05,799.962958584188
656,200.036975568388,6.2619622052486e-05,799.962961811991
657,200.036974315764,6.07412649305232e-05,799.962964942973
658,200.036973100714,5.89192515692784e-05,799.962967980036
659,200.036971922111,5.71518918649423e-05,799.962970925998
660,200.036970778862,5.54375464105235e-05,799.962973783593
661,200.036969669906,5.37746249751347e-05,799.96297655547
662,200.036968594215,5.21615850288941e-05,799.962979244202
663,200.036967550791,5.05969303120743e-05,799.962981852281
664,200.036966538665,4.90792094471712e-05,799.962984382127
665,200.036965556899,4.76070145926055e-05,799.962986836088
666,200.036964604583,4.6178980136808e-05,799.962989216439
667,200.036963680833,4.47937814314778e-05,799.962991525388
668,200.036962784792,4.34501335628375e-05,799.962993765077
669,200.036961915628,4.2146790159746e-05,799.962995937583
670,200.036961072537,4.08825422375638e-05,799.962998044923
671,200.036960254735,3.96562170766978e-05,799.96300008905
672,200.036959461464,3.84666771347854e-05,799.963002071861
673,200.036958691988,3.73128189915089e-05,799.963003995195
674,200.036957945594,3.61935723250621e-05,799.963005860836
675,200.036957221589,3.51078989193179e-05,799.963007670514
676,200.036956519301,3.40547917007784e-05,799.963009425909
677,200.036955838079,3.30332738044117e-05,799.963011128649
678,200.036955177292,3.20423976675111e-05,799.963012780312
679,200.036954536325,3.10812441507345e-05,799.963014382432
680,200.036953914586,3.0148921685509e-05,799.963015936494
681,200.036953311496,2.92445654470114e-05,799.963017443941
682,200.036952726496,2.83673365519547e-05,799.963018906169
683,200.036952159045,2.7516421280439e-05,799.963020324536
684,200.036951608615,2.66910303211434e-05,799.963021700357
685,200.036951074695,2.58903980391597e-05,799.963023034908
686,200.036950556792,2.51137817657881e-05,799.963024329428
687,200.036950054423,2.43604611096364e-05,799.963025585117
688,200.036949567124,2.36297372883836e-05,799.96302680314
689,200.036949094442,2.29209324805885e-05,799.963027984627
690,200.036948635939,2.22333891969408e-05,799.963029130674
691,200.036948191189,2.15664696703729e-05,799.963030242343
692,200.03694775978,2.09195552644661e-05,799.963031320667
693,200.036947341311,2.02920458996024e-05,799.963032366644
694,200.036946935395,1.96833594963289e-05,799.963033381247
695,200.036946541656,1.90929314354202e-05,799.963034365415
696,200.036946159726,1.85202140341363e-05,799.963035320061
697,200.036945789254,1.79646760381908e-05,799.963036246072
698,200.036945429894,1.74258021289585e-05,799.963037144306
699,200.036945081313,1.69030924454649e-05,799.963038015596
